number,1,2,3,4,5,6,7,8,9,10
500,2854,3092,4739,5120,8491,9170,12283,13266,16065,17350
510,3213,3479,5080,5486,9132,9863,13204,14261,17247,18626
510,3028,3280,4739,5120,8491,9170,12283,13266,16065,17350
520,3251,3520,5080,5486,9132,9863,13204,14261,17247,18626
520,3063,3318,4739,5120,8491,9170,12283,13266,16065,17350
530,3289,3562,5080,5486,9132,9863,13204,14261,17247,18626
530,3098,3356,4739,5120,8491,9170,12283,13266,16065,17350
540,3328,3603,5080,5486,9132,9863,13204,14261,17247,18626
540,3134,3394,4739,5120,8491,9170,12283,13266,16065,17350
550,3366,3644,5080,5486,9132,9863,13204,14261,17247,18626
550,3168,3432,4739,5120,8491,9170,12283,13266,16065,17350
560,3404,3685,5080,5486,9132,9863,13204,14261,17247,18626
560,3203,3469,4739,5120,8491,9170,12283,13266,16065,17350
570,3443,3727,5080,5486,9132,9863,13204,14261,17247,18626
570,3239,3507,4739,5120,8491,9170,12283,13266,16065,17350
580,3481,3768,5080,5486,9132,9863,13204,14261,17247,18626
580,3274,3545,4739,5120,8491,9170,12283,13266,16065,17350
590,3519,3809,5080,5486,9132,9863,13204,14261,17247,18626
590,3308,3582,4739,5120,8491,9170,12283,13266,16065,17350
600,3557,3850,5080,5486,9132,9863,13204,14261,17247,18626
600,3344,3620,4739,5120,8491,9170,12283,13266,16065,17350
610,3595,3891,5080,5486,9132,9863,13204,14261,17247,18626
610,3378,3658,4739,5120,8491,9170,12283,13266,16065,17350
620,3633,3932,5080,5486,9132,9863,13204,14261,17247,18626
620,3413,3695,4739,5120,8491,9170,12283,13266,16065,17350
630,3671,3973,5080,5486,9132,9863,13204,14261,17247,18626
630,3448,3733,4739,5120,8491,9170,12283,13266,16065,17350
640,3709,4014,5080,5486,9132,9863,13204,14261,17247,18626
640,3483,3770,4739,5120,8491,9170,12283,13266,16065,17350
650,3747,4054,5080,5486,9132,9863,13204,14261,17247,18626
650,3517,3807,4739,5120,8491,9170,12283,13266,16065,17350
660,3785,4096,5080,5486,9132,9863,13204,14261,17247,18626
660,3553,3845,4739,5120,8491,9170,12283,13266,16065,17350
670,3823,4136,5080,5486,9132,9863,13204,14261,17247,18626
670,3587,3882,4739,5120,8491,9170,12283,13266,16065,17350
680,3861,4177,5080,5486,9132,9863,13204,14261,17247,18626
680,3622,3920,4739,5120,8491,9170,12283,13266,16065,17350
